timestamp,elapsed_s,segment,roots_V,grounded_roots_V
2026-08-16 18:14:37.644,0.451,lower,0.06125000000000047,-0.001875000000000071
2026-08-16 18:14:37.654,0.461,lower,-0.06000000000000005,-0.04375000000000018
2026-08-16 18:14:37.664,0.471,lower,0.07562500000000028,0.005625000000000213
2026-08-16 18:14:37.674,0.481,lower,-0.10062499999999974,-0.03687499999999955
2026-08-16 18:14:37.684,0.491,lower,0.030000000000000027,-0.010000000000000009
2026-08-16 18:14:37.694,0.501,lower,0.029375000000000373,0.005625000000000213
2026-08-16 18:14:37.704,0.511,lower,-0.07937500000000042,-0.03937500000000038
2026-08-16 18:14:37.714,0.521,lower,0.078125,0.006875000000000631
2026-08-16 18:14:37.724,0.531,lower,-0.11874999999999969,-0.03375000000000017
2026-08-16 18:14:37.734,0.541,lower,0.04562500000000025,-0.005625000000000213
2026-08-16 18:14:37.744,0.551,lower,0.055000000000000604,0.0031250000000004885
2026-08-16 18:14:37.754,0.561,lower,-0.0506249999999997,-0.04124999999999934
2026-08-16 18:14:37.764,0.571,lower,0.07937500000000042,0.010000000000000009
2026-08-16 18:14:37.774,0.581,lower,-0.10687499999999961,-0.034999999999999476
2026-08-16 18:14:37.784,0.591,lower,0.03249999999999975,-0.004999999999999449
2026-08-16 18:14:37.794,0.601,lower,0.02562500000000023,0.0031250000000004885
2026-08-16 18:14:37.804,0.611,lower,-0.07437499999999986,-0.0462499999999999
2026-08-16 18:14:37.814,0.621,lower,0.07687499999999958,0.007500000000000284
2026-08-16 18:14:37.824,0.631,lower,-0.12249999999999983,-0.03375000000000017
2026-08-16 18:14:37.834,0.641,lower,0.046875000000000666,-0.013750000000000151
2026-08-16 18:14:37.844,0.651,lower,0.04937500000000039,0.0006249999999996536
2026-08-16 18:14:37.854,0.661,lower,-0.09499999999999953,-0.0462499999999999
2026-08-16 18:14:37.864,0.671,lower,0.07937500000000042,0.011250000000000426
2026-08-16 18:14:37.874,0.681,lower,-0.10874999999999968,-0.03874999999999962
2026-08-16 18:14:37.884,0.691,lower,0.035000000000000586,-0.011249999999999316
2026-08-16 18:14:37.894,0.701,lower,0.016249999999999876,-0.0012500000000004174
2026-08-16 18:14:37.904,0.711,lower,-0.06562500000000027,-0.03937500000000038
2026-08-16 18:14:37.914,0.721,lower,0.07937500000000042,0.004374999999999796
2026-08-16 18:14:37.924,0.731,lower,-0.09624999999999995,-0.040000000000000036
2026-08-16 18:14:37.934,0.741,lower,0.04812499999999997,-0.008749999999999591
2026-08-16 18:14:37.944,0.751,lower,0.04375000000000018,0.004374999999999796
2026-08-16 18:14:37.954,0.761,lower,-0.09062499999999973,-0.04062499999999969
